0,88
1,87
2,92
3,83
4,91
5,88
6,86
7,91
8,88
9,83
10,92
11,86
12,83
13,94
14,90
15,93
16,89
17,90
18,86
19,90
20,81
21,94
22,85
23,91
24,89
25,88
26,88
27,84
28,90
29,92
30,91
31,88
32,90
33,93
34,91
35,92
36,86
37,87
38,85
39,85
40,89
41,87
42,90
43,87
44,88
45,91
46,88
47,88
48,91
49,88
50,95
51,90
52,91
53,91
54,88
55,96
56,85
57,93
58,86
59,90
60,87
61,92
62,85
63,89
64,81
65,89
66,84
67,95
68,88
69,93
70,89
71,89
72,91
73,90
74,90
75,89
76,84
77,83
78,93
79,88
80,91
81,93
82,84
83,90
84,88
85,88
86,83
87,87
88,89
89,91
90,87
91,85
92,84
93,90
94,91
95,87
96,90
97,87
98,85
99,88
100,87
101,86
102,84
103,85
104,87
105,87
106,88
107,85
108,88
109,89
110,91
111,89
112,88
113,88
114,92
115,91
116,92
117,86
118,91
119,88
120,88
121,87
122,91
123,87
124,87
125,85
126,85
127,85
128,90
129,91
130,92
131,87
132,90
133,89
134,91
135,89
136,92
137,91
138,87
139,89
140,84
141,90
142,91
143,86
144,89
145,93
146,84
147,90
148,93
149,85
150,90
151,86
152,85
153,92
154,89
155,90
156,81
157,87
158,88
159,93
160,88
161,84
162,88
163,93
164,91
165,90
166,86
167,87
168,82
169,87
170,87
171,87
172,87
173,87
174,83
175,94
176,90
177,91
178,86
179,91
180,80
181,87
182,88
183,92
184,88
185,92
186,95
187,87
188,90
189,89
190,94
191,93
192,93
193,88
194,82
195,92
196,89
197,86
198,86
199,86
200,88
201,93
202,80
203,86
204,87
205,91
206,89
207,85
208,90
209,83
210,90
211,89
212,83
213,88
214,88
215,86
216,89
217,87
218,89
219,91
220,85
221,87
222,89
223,92
224,87
225,91
226,88
227,83
228,88
229,88
230,88
231,87
232,85
233,88
234,93
235,87
236,88
237,85
238,87
239,89
240,90
241,92
242,90
243,85
244,88
245,93
246,87
247,83
248,86
249,91
250,90
251,87
252,83
253,91
254,93
255,84
256,92
257,85
258,88
259,91
260,83
261,89
262,85
263,86
264,89
265,88
266,91
267,91
268,87
269,91
270,86
271,90
272,91
273,87
274,90
275,86
276,88
277,89
278,87
279,84
280,92
281,93
282,93
283,90
284,84
285,91
286,90
287,90
288,88
289,87
290,93
291,89
292,87
293,87
294,88
295,91
296,90
297,90
298,85
299,93
300,89
301,94
302,88
303,89
304,84
305,90
306,91
307,94
308,83
309,90
310,91
311,93
312,89
313,89
314,91
315,93
316,87
317,86
318,90
319,95
320,85
321,86
322,91
323,86
324,89
325,90
326,91
327,86
328,88
329,93
330,90
331,86
332,89
333,86
334,87
335,86
336,88
337,89
338,90
339,87
340,92
341,87
342,93
343,92
344,84
345,89
346,87
347,95
348,86
349,92
350,83
351,91
352,89
353,88
354,88
355,94
356,89
357,90
358,92
359,88
360,88
361,94
362,89
363,87
364,92
365,85
366,87
367,85
368,92
369,85
370,85
371,87
372,87
373,90
374,88
375,91
376,84
377,89
378,87
379,91
380,86
381,88
382,91
383,91
384,83
385,96
386,87
387,89
388,83
389,87
390,91
391,90
392,91
393,92
394,89
395,89
396,89
397,90
398,90
399,86
400,89
401,91
402,88
403,89
404,90
405,87
406,89
407,84
408,87
409,92
410,96
411,84
412,95
413,86
414,89
415,92
416,88
417,92
418,84
419,85
420,91
421,83
422,89
423,92
424,87
425,85
426,86
427,88
428,87
429,87
430,85
