,age,desc_len,sentiment,pos_words,neg_words,_geography,_price
0,3,239,0.4945,1,0,88.73794002607562,4.31748811353631
1,1,258,0.4019,1,0,88.73794002607562,3.5553480614894135
2,3,418,0.2617,2,2,88.73794002607562,3.332204510175204
3,13,106,0.4404,1,0,89.49032258064516,3.091042453358316
4,8,216,0.9217,4,0,88.73794002607562,3.5263605246161616
5,10,180,0.8393,3,0,88.33333333333333,3.1780538303479458
6,5,171,0.0,0,0,88.63636363636364,3.4657359027997265
7,7,208,0.7845,3,1,89.97413793103448,4.02535169073515
8,2,155,0.4019,1,1,88.56603773584905,2.5649493574615367
9,5,269,-0.5719,0,1,85.77777777777777,2.833213344056216
10,5,379,0.6249,1,0,88.73794002607562,3.912023005428146
11,12,196,0.5106,1,0,86.0,2.302585092994046
12,5,176,-0.4215,0,1,85.85714285714286,2.995732273553991
13,7,349,0.7086,1,1,89.94827586206897,3.5553480614894135
14,4,175,0.9042,4,0,87.60714285714286,3.4011973816621555
15,5,218,0.4767,2,0,89.12214983713355,3.8066624897703196
16,3,146,0.6908,2,0,88.92435424354244,3.2188758248682006
17,10,324,0.7506,2,0,89.12214983713355,3.5553480614894135
18,7,138,0.0654,2,0,85.89005235602095,2.0794415416798357
19,7,170,0.743,2,0,88.92435424354244,3.4011973816621555
20,10,125,0.4939,1,0,85.6470588235294,2.302585092994046
21,10,329,0.8672,5,0,90.62037037037037,4.001934703162768
22,8,149,0.2075,1,0,89.40677966101696,3.332204510175204
23,6,276,0.631,1,0,93.25,3.912023005428146
24,12,222,0.8126,3,0,89.55555555555556,3.5263605246161616
25,8,262,0.9257,4,0,89.12214983713355,2.9444389791664403
26,3,157,0.7184,3,0,87.60714285714286,2.995732273553991
27,7,151,0.4404,1,0,89.97413793103448,3.5553480614894135
28,3,232,0.5267,1,0,88.96428571428571,3.5553480614894135
29,5,376,0.6597,2,1,88.56603773584905,3.8066624897703196
30,5,341,0.7876,3,2,90.85714285714286,3.8501476017100584
31,4,244,-0.1154,0,1,89.12214983713355,3.091042453358316
32,5,205,0.4019,1,1,90.62037037037037,3.6888794541139363
33,5,334,0.8126,2,0,88.73794002607562,3.6888794541139363
34,3,293,0.872,2,0,89.58333333333333,2.995732273553991
35,5,329,0.25,1,1,87.4090909090909,2.4849066497880004
36,2,156,0.0,0,0,87.5,2.302585092994046
37,11,205,0.677,1,0,86.9922480620155,2.5649493574615367
38,8,223,-0.2263,0,1,90.62037037037037,4.0943445622221
39,1,206,-0.4215,0,1,86.80952380952381,2.4849066497880004
40,12,208,0.7579,2,0,86.53658536585365,2.772588722239781
41,3,194,0.7269,2,0,87.0,3.044522437723423
42,5,251,0.3612,1,1,90.04109589041096,3.258096538021482
43,2,214,0.3818,1,0,87.0,2.6390573296152584
44,16,309,0.7845,2,0,88.3076923076923,2.8903717578961645
45,7,129,0.6908,1,0,88.125,3.295836866004329
46,4,280,0.6369,2,0,88.73794002607562,2.995732273553991
47,9,256,0.802,3,0,87.56435643564356,2.9444389791664403
48,8,220,0.8442,2,0,88.28301886792453,3.784189633918261
49,1,174,0.5574,1,0,88.0,3.091042453358316
50,4,337,-0.128,0,0,88.73794002607562,4.248495242049359
51,1,233,-0.0972,1,2,89.40677966101696,3.2188758248682006
52,6,223,0.5574,1,0,89.12214983713355,4.127134385045092
53,17,330,0.8271,2,0,88.73794002607562,3.332204510175204
54,1,249,0.5499,1,0,88.66666666666667,2.6390573296152584
